Word,Form,TimePeriod,SentenceLength
Lehrerinnen,short,2000s,6
Lehrerinnen,short,2000s,34
Lehrerinnen,short,2000s,51
Lehrerinnen,short,2000s,26
Lehrerinnen,short,2000s,16
Lehrerinnen,short,2000s,10
Lehrerinnen,short,2000s,20
Lehrerinnen,short,2000s,10
Lehrerinnen,short,2000s,9
Lehrerinnen,short,2000s,9
Lehrerinnen,short,2000s,40
Lehrerinnen,short,2000s,15
Lehrerinnen,short,2000s,19
Lehrerinnen,short,2000s,37
Lehrerinnen,short,2000s,8
Lehrerinnen,short,2000s,15
Lehrerinnen,short,2000s,20
Lehrerinnen,short,2000s,19
Lehrerinnen,short,2000s,30
Lehrerinnen,short,2000s,18
Lehrerinnen,short,2000s,13
Lehrerinnen,short,2000s,28
Lehrerinnen,short,2000s,58
Lehrerinnen,short,2000s,12
Lehrerinnen,short,2000s,38
Lehrerinnen,short,2000s,12
Lehrerinnen,short,2000s,38
Lehrerinnen,short,2000s,18
Lehrerinnen,short,2000s,10
Lehrerinnen,short,2000s,24
Lehrerinnen,short,2000s,38
Politikerinnen,long,2010s,22
Politikerinnen,long,2010s,9
Politikerinnen,long,2010s,17
Politikerinnen,long,2010s,4
Politikerinnen,long,2010s,7
Politikerinnen,long,2010s,23
Politikerinnen,long,2010s,35
Politikerinnen,long,2010s,20
Politikerinnen,long,2010s,32
Politikerinnen,long,2010s,50
Politikerinnen,long,2010s,57
Politikerinnen,long,2010s,57
Politikerinnen,long,2010s,46
Politikerinnen,long,2010s,25
Politikerinnen,long,2010s,82
Politikerinnen,long,2010s,40
Politikerinnen,long,2010s,57
Politikerinnen,long,2010s,19
Politikerinnen,long,2010s,25
Politikerinnen,long,2010s,17
Politikerinnen,long,2010s,10
Politikerinnen,long,2010s,21
Politikerinnen,long,2010s,20
Politikerinnen,long,2010s,43
Politikerinnen,long,2010s,27
Politikerinnen,long,2010s,65
Politikerinnen,long,2010s,11
Politikerinnen,long,2010s,16
Politikerinnen,long,2010s,144
Politikerinnen,long,2010s,21
Politikerinnen,long,2010s,11
Politikerinnen,long,2010s,42
Politikerinnen,long,2010s,30
Politikerinnen,long,2010s,28
Politikerinnen,long,2010s,28
Politikerinnen,long,2010s,22
Politikerinnen,long,2010s,15
Politikerinnen,long,2010s,21
Politikerinnen,long,2010s,43
Politikerinnen,long,2010s,22
Politikerinnen,long,2010s,44
Politikerinnen,long,2010s,25
Politikerinnen,long,2010s,22
Politikerinnen,long,2010s,8
Politikerinnen,long,2010s,17
Politikerinnen,long,2010s,29
Politikerinnen,long,2010s,26
Politikerinnen,long,2010s,27
Politikerinnen,long,2010s,23
Politikerinnen,long,2010s,17
Politikerinnen,long,2010s,12
Politikerinnen,long,2010s,21
Politikerinnen,long,2010s,29
Politikerinnen,long,2010s,30
Politikerinnen,long,2010s,34
Politikerinnen,long,2010s,52
Politikerinnen,long,2010s,44
Politikerinnen,long,2010s,25
Politikerinnen,long,2010s,12
Politikerinnen,long,2010s,13
Politikerinnen,long,2010s,54
Politikerinnen,long,2010s,25
Politikerinnen,long,2010s,7
Politikerinnen,long,2010s,38
Politikerinnen,long,2010s,14
Politikerinnen,long,2010s,18
Politikerinnen,long,2010s,31
Politikerinnen,long,2000s,42
Politikerinnen,long,2000s,35
Politikerinnen,long,2000s,37
Politikerinnen,long,2000s,34
Politikerinnen,short,2010s,16
Politikerinnen,short,2010s,15
